"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Задолженность","0","","1","0","","0"
"0","Рассрочка","0","","1","0","","0"
"0","Домашний интернет","0","","1","0","","0"
"0","CVC","0","","1","0","","0"
"0","","0","","9","0","","0"
"0","Поле:Номер карты","0","","1","0","","0"
"0","Сумма внизу","0","","1","0","","0"
"0","Сумма вверху","0","","1","0","","0"
"0","Номер телефона","0","","1","0","","0"
"0","Услуги связи","0","","1","0","","0"
"0","Поле:Имя держателя","0","","1","0","","0"
"0","Поле:Срок действия","0","","1","0","","0"
