"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","checkingPlaceHolderNumberAccountArrears()","","Mon Aug 19 16:02:41 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderNumberAccountArrears"
"","67","checkingPlaceHolderAccountNumber()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderAccountNumber"
"","67","checkingPlaceHolderNumberNumber()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderNumberNumber"
"","890","checkingCvcContentFild()","","Mon Aug 19 16:03:45 GMT+03:00 2024","passed","Mon Aug 19 16:03:46 GMT+03:00 2024","","Test2","Test2","checkingCvcContentFild"
"","70","checkingPlaceHolderEmailInstalment()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailInstalment"
"","75","checkingPlaceHolderEmailTest()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailTest"
"","265","checkingNumberCardFild()","","Mon Aug 19 16:03:46 GMT+03:00 2024","passed","Mon Aug 19 16:03:47 GMT+03:00 2024","","Test2","Test2","checkingNumberCardFild"
"","286","checkingPlaceHolderEmailHomeInternet()","","Mon Aug 19 16:02:40 GMT+03:00 2024","passed","Mon Aug 19 16:02:40 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailHomeInternet"
"","80","checkingPlaceHolderSumHomeInternet()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumHomeInternet"
"","142","checkingSumDown()","","Mon Aug 19 16:03:47 GMT+03:00 2024","passed","Mon Aug 19 16:03:47 GMT+03:00 2024","","Test2","Test2","checkingSumDown"
"","212","checkingIcons()","","Mon Aug 19 16:03:45 GMT+03:00 2024","passed","Mon Aug 19 16:03:45 GMT+03:00 2024","","Test2","Test2","checkingIcons"
"","567","checkingSumUp()","","Mon Aug 19 16:03:45 GMT+03:00 2024","passed","Mon Aug 19 16:03:45 GMT+03:00 2024","","Test2","Test2","checkingSumUp"
"","4977","checkingNumberPhoneMarked()","","Mon Aug 19 16:03:38 GMT+03:00 2024","passed","Mon Aug 19 16:03:43 GMT+03:00 2024","","Test2","Test2","checkingNumberPhoneMarked"
"","71","checkingPlaceHolderPhoneTest()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderPhoneTest"
"","78","checkingPlaceHolderSumInstalment()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumInstalment"
"","178","checkingPlaceHolderSumArrears()","","Mon Aug 19 16:02:41 GMT+03:00 2024","passed","Mon Aug 19 16:02:41 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumArrears"
"","163","checkingHoldersNameFild()","","Mon Aug 19 16:03:47 GMT+03:00 2024","passed","Mon Aug 19 16:03:47 GMT+03:00 2024","","Test2","Test2","checkingHoldersNameFild"
"","150","checkingValidityPeriodFild()","","Mon Aug 19 16:03:47 GMT+03:00 2024","passed","Mon Aug 19 16:03:47 GMT+03:00 2024","","Test2","Test2","checkingValidityPeriodFild"
"","86","checkingPlaceHolderEmailArrears()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailArrears"
"","103","checkingPlaceHolderSumTest()","","Mon Aug 19 16:02:42 GMT+03:00 2024","passed","Mon Aug 19 16:02:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumTest"
